order_id,msa_id,procurement_type_id,order_code,order_ceiling_amount
4061,136,1,SOW01752-1,190450.54
4027,135,1,SOW01735,38069.9
8492,133,4,CO008492,6603.24
5609,191,1,SOW02414-2,50465.73
6394,120,3,BPO006394,16002.89
10857,37,2,PO010857,32573.32
5273,175,1,SOW02269,369394.54
7870,53,4,CO007870,6258.39
9844,162,3,BPO009844,20591.66
2413,79,1,SOW01050-1,47636.19
2997,102,1,SOW01296,38045.3
9536,160,2,PO009536,4914.5
11119,63,2,PO011119,33553.46
3381,114,1,SOW01451-1,38690.14
118,5,1,SOW00053,469129.09
8031,74,4,CO008031,33969.89
617,19,1,SOW00261,201642.05
2579,85,1,SOW01118,123114.58
5766,196,1,SOW02480-2,130235.05
7066,106,3,BPO007066,40547.01
6885,129,2,PO006885,3172.88
10438,29,4,CO010438,18938.23
7512,107,2,PO007512,38230.03
7163,152,4,CO007163,14223.26
5306,177,1,SOW02284-1,157427.93
11535,167,2,PO011535,32275.29
4496,150,1,SOW01944-2,119183.73
6441,159,4,CO006441,6884.72
4761,160,1,SOW02058-1,156144.1
10171,30,4,CO010171,3243.38
11426,18,3,BPO011426,33126.52
11386,12,3,BPO011386,44059.98
544,17,1,SOW00226,53253.12
369,13,1,SOW00158,58756.47
11617,95,3,BPO011617,26930.43
7238,146,2,PO007238,49690.9
8551,80,3,BPO008551,5448.58
8293,36,2,PO008293,37147.64
3218,108,1,SOW01381,64830.28
8896,108,4,CO008896,6960.26
3743,126,1,SOW01614-1,76689.15
2182,74,1,SOW00956-1,67497.7
465,16,1,SOW00194-1,66748.49
5666,192,1,SOW02436,182982.95
5576,190,1,SOW02400,44027.18
2907,99,1,SOW01253,407667.22
8133,11,4,CO008133,3265.03
330,11,1,SOW00144-1,109949.1
748,26,1,SOW00321,78517.31
2052,69,1,SOW00898-1,29535.39
3178,107,1,SOW01367,49307.54
1225,41,1,SOW00533,132178.07
7181,46,2,PO007181,43373.85
2321,77,1,SOW01012,86839.95
5931,121,3,BPO005931,21423.51
9333,200,4,CO009333,47120.46
9899,176,4,CO009899,17353.15
7039,57,4,CO007039,10186.08
6928,17,3,BPO006928,9400.29
7671,41,2,PO007671,34179.65
33,1,1,SOW00018,194301.23
2130,72,1,SOW00934,269420.93
940,31,1,SOW00409,389153.81
3225,108,1,SOW01383-3,247158.41
3250,109,1,SOW01393-3,59605.67
4241,142,1,SOW01832-1,100790.8
9469,30,4,CO009469,22580.37
1181,39,1,SOW00516-2,97938.91
10511,138,4,CO010511,5472.33
6318,3,2,PO006318,27347.32
2145,72,1,SOW00941,515078.67
7451,98,2,PO007451,33602.87
632,20,1,SOW00269,54871.18
4367,147,1,SOW01892,52844.55
8189,56,4,CO008189,9943.88
10179,99,2,PO010179,20363.99
10766,131,2,PO010766,13533.21
4586,154,1,SOW01987,364303.96
5421,184,1,SOW02334-1,108466.37
4115,137,1,SOW01775-1,87975.2
6820,51,3,BPO006820,24809.6
1960,68,1,SOW00861,17875.23
6439,125,2,PO006439,18491.87
45,3,1,SOW00025,99267.07
8842,196,2,PO008842,39112.35
6713,149,4,CO006713,35240.86
8259,123,4,CO008259,30932.76
3047,103,1,SOW01313-2,271034.65
6515,166,4,CO006515,39339.44
2185,74,1,SOW00957-2,82277.29
6398,28,2,PO006398,4351.52
1573,54,1,SOW00685,179676.12
7982,93,3,BPO007982,29452.11
317,11,1,SOW00139,92919.32
5422,184,1,SOW02335,60388.6
11137,154,3,BPO011137,8458.42
3207,107,1,SOW01378-1,43723.48
950,32,1,SOW00413-2,1138822.63
5180,172,1,SOW02233,277136.24
7586,152,2,PO007586,5096.16
3097,105,1,SOW01336-1,91066.9
5922,152,4,CO005922,41645.43
5724,195,1,SOW02462-1,345062.4
8969,110,2,PO008969,46972.84
1627,55,1,SOW00709,290201.03
8260,11,4,CO008260,24821.01
2592,86,1,SOW01124,38530.98
5581,190,1,SOW02401,37524.03
3136,106,1,SOW01347,105016.28
6491,56,3,BPO006491,10883.27
603,18,1,SOW00253-2,117981.06
6916,22,2,PO006916,38681.29
2252,75,1,SOW00984-1,70565.01
2983,101,1,SOW01288-1,11340.22
3634,123,1,SOW01560-1,236122.31
1409,50,1,SOW00616-1,222427.35
9618,72,4,CO009618,49182.95
7750,49,4,CO007750,15871.12
7228,181,3,BPO007228,9311.2
10947,165,4,CO010947,1293.58
4883,163,1,SOW02101-3,106279.47
9328,147,4,CO009328,16376.34
3394,114,1,SOW01457,33678.42
2611,87,1,SOW01129-1,582218.68
3387,114,1,SOW01455,89183.21
7067,109,3,BPO007067,13404.62
11656,69,3,BPO011656,19484.57
6380,178,2,PO006380,14695.07
10988,7,2,PO010988,31290.94
7271,1,4,CO007271,7800.8
7715,171,3,BPO007715,5646.29
5773,196,1,SOW02482-5,160437.04
2600,86,1,SOW01125-5,110407.0
6993,105,4,CO006993,22762.81
7788,89,3,BPO007788,43445.07
8911,6,2,PO008911,36673.61
3878,130,1,SOW01670-3,319002.87
10304,49,3,BPO010304,8299.78
8054,82,3,BPO008054,18226.57
10227,145,4,CO010227,23076.69
7737,42,2,PO007737,28144.65
11311,83,4,CO011311,46622.66
2330,77,1,SOW01015,152261.71
3713,125,1,SOW01598-1,22013.16
5549,189,1,SOW02389-1,381081.18
4492,150,1,SOW01943,81622.26
8670,28,2,PO008670,46982.91
7034,181,4,CO007034,16217.6
